"Time","NAQM-5","NAQM-20","Tail"
1,4,15,170
2,2,20,160
3,5,17,180
4,2,19,185
5,3,18,190
6,1,20,185
7,4,21,170
8,6,20,175
9,3,19,190
10,5,20,195
11,6,18,200
12,2,20,180
13,4,17,170
14,5,20,180
15,2,17,170
16,6,18,190
17,1,20,185
18,4,17,175
19,3,20,195
20,2,21,200
21,5,19,195
22,1,17,190
23,3,20,195
24,5,21,200
25,2,19,170
26,5,17,185
27,1,18,180
28,2,19,175
29,4,20,180
30,6,17,190
31,3,20,195
32,5,18,200
33,2,19,185
34,4,20,190
35,5,17,170
36,2,16,175
37,5,18,170
38,2,19,185
39,3,20,195
40,4,17,190
41,4,21,200
42,5,20,180
43,1,17,185
44,2,19,175
45,3,17,190
46,5,19,200
47,3,18,180
48,6,17,185
49,2,19,195
50,3,20,190
51,4,21,200
52,5,19,190
53,6,20,195
54,3,21,180
55,5,18,185
56,6,17,195
57,3,19,175
58,2,20,195
59,4,18,200
60,5,21,195
61,6,20,190
62,2,17,195
63,3,19,200
64,4,20,170
65,5,18,185
66,2,20,180
67,4,18,175
68,5,19,180
69,2,16,190
70,4,17,195
71,5,19,200
72,2,20,185
73,6,17,190
74,1,21,170
75,4,19,175
76,3,21,170
77,2,20,185
78,5,17,195
79,1,15,190
80,3,20,200
81,5,17,180
82,2,19,185
83,5,18,175
84,1,20,190
85,2,21,200
86,4,20,180
87,6,19,190
88,3,20,170
89,5,18,175
90,2,20,170
91,5,17,185
92,1,20,195
93,3,17,190
94,5,18,200
95,2,20,180
96,5,17,185
97,1,20,175
98,2,21,190
99,4,19,200
100,6,17,180
101,3,20,185
102,5,21,195
103,2,19,190
104,4,17,200
105,5,18,190
106,2,19,195
107,5,20,180
108,2,17,185
109,3,20,195
110,4,18,175
111,4,19,195
112,5,20,200
113,1,17,195
114,2,16,190
115,3,18,195
116,5,19,200
117,3,20,170
118,6,17,185
119,2,20,180
120,3,21,175
121,4,20,180
122,5,19,190
123,6,20,195
124,3,18,200
125,5,20,185
126,6,17,190
127,3,20,170
128,2,17,175
129,4,18,170
130,5,20,185
131,6,17,195
132,2,20,190
133,3,21,200
134,6,19,180
135,3,17,185
136,5,20,175
137,6,21,190
138,2,19,200
139,4,17,180
140,5,18,190
141,2,19,170
142,6,20,175
143,1,17,170
144,4,20,185
145,3,18,195
146,2,19,190
147,5,20,200
148,1,17,180
149,3,16,185
150,5,18,175
151,2,19,190
152,5,20,200
153,1,17,180
154,2,21,185
155,4,20,195
156,6,17,190
157,3,19,200
158,5,17,180
159,2,19,185
160,4,18,175
161,5,17,190
162,2,19,200
163,5,20,180
164,2,21,190
165,3,19,170
166,4,20,175
167,4,21,170
168,5,18,185
169,1,17,195
170,2,19,190
171,3,20,200
172,5,18,180
173,3,21,185
174,6,20,175
175,2,17,190
176,3,19,200
177,4,20,180
178,5,18,185
179,6,20,195
180,3,18,190
181,5,19,200
182,6,16,190
183,3,17,195
184,2,19,180
185,4,20,185
186,5,17,195
187,6,21,175
188,2,19,195
189,3,21,200
190,4,20,195
191,5,17,190
192,2,15,195
193,4,20,200
194,5,17,170
195,2,19,185
196,4,18,180
197,5,20,175
198,2,21,180
199,6,20,190
200,1,19,195
201,4,20,200
202,3,18,185
203,2,20,190
204,5,17,170
205,1,20,175
206,3,17,170
207,5,18,185
208,2,20,195
209,5,17,190
210,1,20,200
211,2,21,195
212,4,19,180
213,6,17,185
214,3,20,195
215,5,21,175
216,2,19,195
217,5,17,200
218,1,18,195
219,3,19,190
220,5,20,195
221,2,17,200
222,5,20,170
223,1,18,185
224,2,19,180
225,4,20,175
226,6,17,180
227,3,16,190
228,5,20,195
229,2,19,200
230,4,20,185
231,1,18,190
232,3,20,170
233,5,17,175
234,2,20,170
235,5,17,185
236,1,18,195
237,2,20,190
238,4,17,200
239,6,20,180
240,3,21,185
241,5,19,175
242,2,17,190
243,5,20,200
244,1,21,180
245,3,19,190
246,5,17,170
247,2,18,175
248,5,19,170
249,1,20,185
250,1,20,185
